name,price
"Amouage Interlude Man EDP - 2ml Spray (30 Sprays),Amouage Interlude Man EDP - 5ml Spray (75 Sprays),Amouage Interlude Man EDP - 10ml Spray (150 Sprays)","[16.0, 32.0, 60.0]"
"Acqua Di Gio Profumo - 5ml Spray (75 Sprays),Acqua Di Gio Profumo - 10ml Spray (150 Sprays)","[17.0, 30.0]"
"Amouage Reflection Man EDP - 2ml Spray (30 Sprays),Amouage Reflection Man EDP - 5ml Spray (75 Sprays),Amouage Reflection Man EDP - 10ml Spray (150 Sprays)","[16.0, 32.0, 60.0]"
"Carolina Herrera Bad Boy EDT - 5ml Spray (75 Sprays),Carolina Herrera Bad Boy EDT - 10ml Spray (150 Sprays)","[18.0, 32.0]"
"Acqua di Gio EDP - 5ml Spray (75 Sprays),Acqua di Gio EDP - 10ml Spray (150 Sprays)","[17.0, 30.0]"
"Chanel Allure Homme Sport - 5ml Spray (75 Sprays),Chanel Allure Homme Sport - 10ml Spray (150 Sprays)","[18.0, 32.0]"
"Byredo Sundazed - 2ml Spray (30 Sprays),Byredo Sundazed - 5ml Spray (75 Sprays),Byredo Sundazed - 10ml Spray (150 Sprays)","[18.0, 35.0, 60.0]"
"Byredo Lil Fleur - 2ml Spray (30 Sprays),Byredo Lil Fleur - 5ml Spray (75 Sprays),Byredo Lil Fleur - 10ml Spray (150 Sprays)","[14.0, 28.0, 50.0]"
"Byredo Slow Dance - 2ml Spray (30 Sprays),Byredo Slow Dance - 5ml Spray (75 Sprays),Byredo Slow Dance - 10ml Spray (150 Sprays)","[18.0, 35.0, 60.0]"
"Byredo Inflorescence - 2ml Spray (30 Sprays),Byredo Inflorescence - 5ml Spray (75 Sprays),Byredo Inflorescence - 10ml Spray (150 Sprays)","[18.0, 35.0, 60.0]"
"Byredo Rose Of No Man's Land - 2ml Spray (30 Sprays),Byredo Rose Of No Man's Land - 5ml Spray (75 Sprays),Byredo Rose Of No Man's Land - 10ml Spray (150 Sprays)","[18.0, 35.0, 60.0]"
"Acqua Di Gio Profondo - 5ml Spray (75 Sprays),Acqua Di Gio Profondo - 10ml Spray (150 Sprays)","[17.0, 30.0]"
"Byredo Black Saffron - 2ml Spray (30 Sprays),Byredo Black Saffron - 5ml Spray (75 Sprays),Byredo Black Saffron - 10ml Spray (150 Sprays)","[18.0, 35.0, 60.0]"
"Byredo Blanche - 2ml Spray (30 Sprays),Byredo Blanche - 5ml Spray (75 Sprays),Byredo Blanche - 10ml Spray (150 Sprays)","[15.0, 35.0, 60.0]"
"Byredo Bibliotheque - 2ml Spray (30 Sprays),Byredo Bibliotheque - 5ml Spray (75 Sprays),Byredo Bibliotheque - 10ml Spray (150 Sprays)","[18.0, 35.0, 60.0]"
"ARMAF Club de Nuit Milestone - 5ml Spray (75 Sprays),ARMAF Club de Nuit Milestone - 10ml Spray (150 Sprays)","[10.0, 18.0]"
"Bleu De Chanel EDT - 5ml Spray (75 Sprays),Bleu De Chanel EDT - 10ml Spray (150 Sprays)","[18.0, 32.0]"
"Bleu De Chanel EDP - 5ml Spray (75 Sprays),Bleu De Chanel EDP - 10ml Spray (150 Sprays)","[20.0, 35.0]"
"Ariana Grande Moonlight - 5ml Spray (75 Sprays),Ariana Grande Moonlight - 10ml Spray (150 Sprays)","[14.0, 24.0]"
"ARMAF Club de Nuit Sillage - 5ml Spray (75 Sprays),ARMAF Club de Nuit Sillage - 10ml Spray (150 Sprays)","[10.0, 18.0]"
"Ariana Grande Sweet Like Candy - 5ml Spray (75 Sprays),Ariana Grande Sweet Like Candy - 10ml Spray (150 Sprays)","[14.0, 24.0]"
"Byredo Gypsy Water - 2ml Spray (30 Sprays),Byredo Gypsy Water - 5ml Spray (75 Sprays),Byredo Gypsy Water - 10ml Spray (150 Sprays)","[15.0, 35.0, 60.0]"
"Dior Escale Aux Marquises - 5ml Spray (75 Sprays),Dior Escale Aux Marquises - 10ml Spray (150 Sprays)","[15.0, 25.0]"
"Davidoff Cool Water EDT - 5ml Spray (75 Sprays),Davidoff Cool Water EDT - 10ml Spray (150 Sprays)","[8.0, 15.0]"
"D&G Light Blue Forever Pour Homme EDP - 5ml Spray (75 Sprays),D&G Light Blue Forever Pour Homme EDP - 10ml Spray (150 Sprays)","[18.0, 35.0]"
"Creed Royal Water - 2ml Spray (30 Sprays),Creed Royal Water - 5ml Spray (75 Sprays),Creed Royal Water - 10ml Spray (150 Sprays)","[15.0, 30.0, 55.0]"
"D&G Light Blue eau Intense - 5ml Spray (75 Sprays),D&G Light Blue eau Intense - 10ml Spray (150 Sprays)","[15.0, 25.0]"
"Creed Original Santal - 2ml Spray (30 Sprays),Creed Original Santal - 5ml Spray (75 Sprays),Creed Original Santal - 10ml Spray (150 Sprays)","[15.0, 30.0, 55.0]"
"D&G The One EDP - 5ml Spray (75 Sprays),D&G The One EDP - 10ml Spray (150 Sprays)","[15.0, 25.0]"
"Creed Love in White - 2ml Spray (30 Sprays),Creed Love in White - 5ml Spray (75 Sprays),Creed Love in White - 10ml Spray (150 Sprays)","[15.0, 30.0, 55.0]"
"Creed Green Irish Tweed - 2ml Spray (30 Sprays),Creed Green Irish Tweed - 5ml Spray (75 Sprays),Creed Green Irish Tweed - 10ml Spray (150 Sprays)","[15.0, 30.0, 55.0]"
"Creed Aventus Cologne - 2ml Spray (30 Sprays),Creed Aventus Cologne - 5ml Spray (75 Sprays),Creed Aventus Cologne - 10ml Spray (150 Sprays)","[15.0, 30.0, 55.0]"
"Creed Aventus - 2ml Spray (30 Sprays),Creed Aventus - 5ml Spray (75 Sprays),Creed Aventus - 10ml Spray (150 Sprays)","[20.0, 40.0, 70.0]"
"Coach for Women EDP - 5ml Spray (75 Sprays),Coach for Women EDP - 10ml Spray (150 Sprays)","[12.0, 20.0]"
"Creed Millesime Imperial - 2ml Spray (30 Sprays),Creed Millesime Imperial - 5ml Spray (75 Sprays),Creed Millesime Imperial - 10ml Sprays (150 Sprays)","[15.0, 30.0, 55.0]"
"Coach for Men EDT - 5ml Spray (75 Sprays),Coach for Men EDT - 10ml Spray (150 Sprays)","[12.0, 20.0]"
"Creed Himalaya - 2ml Spray (30 Sprays),Creed Himalaya - 5ml Spray (75 Sprays),Creed Himalaya - 10ml Spray (150 Sprays)","[15.0, 30.0, 55.0]"
"Jimmy Choo Man Blue - 5ml Spray (75 Sprays),Jimmy Choo Man Blue - 10ml Spray (150 Sprays)","[10.0, 18.0]"
"Jean Paul Gaultier Ultra Male Intense EDT - 5ml Spray (75 Sprays),Jean Paul Gaultier Ultra Male Intense EDT - 10ml Spray (150 Sprays)","[14.0, 24.0]"
"Huda Beauty Kayali - Citrus 08 EDP - 5ml Spray (75 Sprays),Huda Beauty Kayali - Citrus 08 EDP - 10ml Spray (150 Sprays)","[16.0, 30.0]"
"Jil Sander Sun Men - 5ml Spray (75 Sprays),Jil Sander Sun Men - 10ml Spray (150 Sprays)","[10.0, 18.0]"
"Jean Paul Gaultier Le Male - 5ml Spray (75 Sprays),Jean Paul Gaultier Le Male - 10ml Spray (150 Sprays)","[12.0, 20.0]"
"Huda Beauty Kayali - Elixir II 2 EDP - 5ml Spray (75 Sprays),Huda Beauty Kayali - Elixir II 2 EDP - 10ml Spray (150 Sprays)","[16.0, 30.0]"
"Huda Beauty Kayali - Eden Juicy Apple 01 EDP - 5ml Spray (75 Spray),Huda Beauty Kayali - Eden Juicy Apple 01 EDP - 10ml Spray (75 Spray)","[16.0, 30.0]"
"Guerlain L'homme Ideal EDP - 5ml Spray (75 Sprays),Guerlain L'homme Ideal EDP - 10ml Spray (150 Sprays)","[20.0, 35.0]"
"Gucci Bloom EDP - 5ml Spray (75 Sprays),Gucci Bloom EDP - 10ml Spray (150 Sprays)","[15.0, 25.0]"
"Halloween Man X - 5ml Spray (75 Sprays),Halloween Man X - 10ml Spray (150 Sprays)","[10.0, 18.0]"
